DEBUG 2025-01-25 11:28:07,775 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\middleware\security.py first seen with mtime 1709115477.082645
DEBUG 2025-01-25 11:28:07,776 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\drawing\__init__.py first seen with mtime 1663528062.2220483
DEBUG 2025-01-25 11:28:07,776 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\numpy\core\_asarray.py first seen with mtime 1667224336.4552162
DEBUG 2025-01-25 11:28:07,777 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\connection.py first seen with mtime 1709115477.336646
DEBUG 2025-01-25 11:28:07,780 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\importlib\_abc.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,780 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\_compat_pickle.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,782 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1709115476.1816466
DEBUG 2025-01-25 11:28:07,783 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\workbook\views.py first seen with mtime 1663528062.3018296
DEBUG 2025-01-25 11:28:07,783 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1709115477.0636437
DEBUG 2025-01-25 11:28:07,784 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\worksheet\filters.py first seen with mtime 1663528062.3227735
DEBUG 2025-01-25 11:28:07,784 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\middleware\http.py first seen with mtime 1709115477.074646
DEBUG 2025-01-25 11:28:07,785 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\import_export\forms.py first seen with mtime 1736069121.850377
DEBUG 2025-01-25 11:28:07,785 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\chart\surface_chart.py first seen with mtime 1663528062.1831515
DEBUG 2025-01-25 11:28:07,786 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\http\request.py first seen with mtime 1709115477.0246456
DEBUG 2025-01-25 11:28:07,786 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\requests\api.py first seen with mtime 1699698930.9970143
DEBUG 2025-01-25 11:28:07,787 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\numpy\linalg\linalg.py first seen with mtime 1667224337.2934856
DEBUG 2025-01-25 11:28:07,787 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\unittest\suite.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,789 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1709115476.7056453
DEBUG 2025-01-25 11:28:07,789 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1709115476.7746425
DEBUG 2025-01-25 11:28:07,790 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\rest_framework\utils\humanize_datetime.py first seen with mtime 1736040381.5658257
DEBUG 2025-01-25 11:28:07,790 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\models\query.py first seen with mtime 1709115476.6746483
DEBUG 2025-01-25 11:28:07,791 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\chardet\charsetprober.py first seen with mtime 1637001716.319061
DEBUG 2025-01-25 11:28:07,791 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\workbook\properties.py first seen with mtime 1663528062.2988377
DEBUG 2025-01-25 11:28:07,792 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1709115473.5766437
DEBUG 2025-01-25 11:28:07,792 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\MySQLdb\constants\FLAG.py first seen with mtime 1736069313.9388065
DEBUG 2025-01-25 11:28:07,792 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\urllib3\util\util.py first seen with mtime 1699698930.2471259
DEBUG 2025-01-25 11:28:07,796 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\jinja2\loaders.py first seen with mtime 1635689254.2627661
DEBUG 2025-01-25 11:28:07,796 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\wsgiref\__init__.py first seen with mtime 1633367526.0
DEBUG 2025-01-25 11:28:07,797 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\unittest\main.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,797 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\template\backends\django.py first seen with mtime 1709115477.1836448
DEBUG 2025-01-25 11:28:07,798 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\numpy\core\records.py first seen with mtime 1667224336.5624447
DEBUG 2025-01-25 11:28:07,799 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\models\fields\generated.py first seen with mtime 1709115476.698645
DEBUG 2025-01-25 11:28:07,800 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\test\testcases.py first seen with mtime 1709115477.2826447
DEBUG 2025-01-25 11:28:07,801 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\files\move.py first seen with mtime 1709115476.152643
DEBUG 2025-01-25 11:28:07,801 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\reader\strings.py first seen with mtime 1663528062.2619374
DEBUG 2025-01-25 11:28:07,801 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\drawing\xdr.py first seen with mtime 1663528062.2380023
DEBUG 2025-01-25 11:28:07,802 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1709115477.255644
DEBUG 2025-01-25 11:28:07,802 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\chart\line_chart.py first seen with mtime 1663528062.1592298
DEBUG 2025-01-25 11:28:07,803 autoreload File C:\TransLogix\Solution files\myproject\backend files\TransLogix_djangoProject\TransLogix_djangoProject\settings.py first seen with mtime 1737797284.1165662
DEBUG 2025-01-25 11:28:07,803 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\chardet\cp949prober.py first seen with mtime 1637001716.319061
DEBUG 2025-01-25 11:28:07,804 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1709115477.3516436
